Project Name,Symbol,Token Price,Total Raise,Swap Amount,Token Network,IGO Network,Accepted Currency,Vesting Schedule,Launch Status,website,telegram,twitter
Monsterra IGO,MSTR,0.2 BUSD,"$130,000","650,000 MSTR",BNB Chain,BNB Chain,BUSD,"10% at TGE, 1 months cliff then linear vesting over the next 3 months",COMING SOON,https://monsterra.io/,https://t.me/monsterragame_chat,https://twitter.com/Monsterra_P2E
Monsterra Community,MSTR,0.2 BUSD,"$1,000","5,000 MSTR",BNB Chain,BNB Chain,BUSD,"10% at TGE, 1 months cliff then linear vesting over the next 3 months",COMING SOON,https://monsterra.io/,https://t.me/monsterragame_chat,https://twitter.com/Monsterra_P2E
XANA IGO,XETA,0.01 BUSD,"$94,000","9,400,000 XETA",BNB Chain,BNB Chain,BUSD,"10% at TGE, 120 days cliff then monthly vesting over 30 months",WHITELIST ENDS IN 09 DAYS : 12 HOURS : 41 MINUTES : 17 SECONDS,https://xana.net/,https://t.me/xana_english,https://twitter.com/XANAMetaverse
XANA Community,XETA,0.01 BUSD,"$1,000","100,000 XETA",BNB Chain,BNB Chain,BUSD,"10% at TGE, 120 days cliff then monthly vesting over 30 months",WHITELIST ENDS IN 09 DAYS : 12 HOURS : 41 MINUTES : 06 SECONDS,https://xana.net/,https://t.me/xana_english,https://twitter.com/XANAMetaverse
Codyfight IGO,CTOK,0.08 USDT,"$140,500","1,756,250 CTOK",Ethereum,Ethereum,USDT,"10% unlock on TGE, 4.5% each month starting at month 5",COMING SOON,https://codyfight.com/,https://t.me/codyfight,https://twitter.com/codyfight
Codyfight Community,CTOK,0.08 USDT,"$2,000","25,000 CTOK",Ethereum,Ethereum,USDT,"10% unlock on TGE, 4.5% each month starting at month 5",COMING SOON,https://codyfight.com/,https://t.me/codyfight,https://twitter.com/codyfight
Epic War IGO,EWAR,0.04 BUSD,"$197,000","4,925,000 EWAR",BNB Chain,BNB Chain,BUSD,20% TGE then linear monthly (10 months),COMING SOON,https://epicwar.io/,https://t.me/epicwarglobal,https://twitter.com/the_epic_war
Epic War Community,EWAR,0.04 BUSD,"$3,000","75,000 EWAR",BNB Chain,BNB Chain,BUSD,20% TGE then linear monthly (10 months),COMING SOON,https://epicwar.io/,https://t.me/epicwarglobal,https://twitter.com/the_epic_war
Monsterra INO Event,MSTR,0.2 BUSD,"$6,411","32,055 MSTR",BNB Chain,BNB Chain,BUSD,"10% at TGE, 1 months cliff then linear vesting over the next 3 months",COMING SOON,https://monsterra.io/,https://t.me/monsterragame_chat,https://twitter.com/Monsterra_P2E
Monsterra Gamer Event,MSTR,0.2 BUSD,"$4,720","23,600 MSTR",BNB Chain,BNB Chain,BUSD,"10% at TGE, 1 months cliff then linear vesting over the next 3 months",COMING SOON,https://monsterra.io/,https://t.me/monsterragame_chat,https://twitter.com/Monsterra_P2E
